author
"Alain Hertz"
"Alan R. Hevner"
"Ali R. Hurson"
"Amir Herzberg"
"Andreas Henrich"
"Arthur H. M. ter Hofstede"
"Blake Hannaford"
"Boudewijn R. Haverkort"
"Chu-Ren Huang"
"Chung-Ming Huang"
"Dan Halperin"
"David C. Hogg"
"David Harel"
"David Haussler"
"Dimitrios Hatzinakos"
"Dorit S. Hochbaum"
"Edith Hemaspaandra"
"Eduard H. Hovy"
"Francisco Herrera"
"Frank van Harmelen"
"Friedhelm Meyer auf der Heide"
"Geoffrey E. Hinton"
"George Hripcsak"
"Gregory D. Hager"
"H. Jaap van den Herik"
"Hans Hagen"
"Hans Hansson"
"Heinz Handels"
"Hideki Hashimoto"
"Holger Hermanns"
"Huosheng Hu"
"Hynek Hermansky"
"Ian J. Hayes"
"J rg Henkel"
"James A. Hendler"
"James D. Herbsleb"
"Jean-Pierre Hubaux"
"Jenq-Neng Hwang"
"John H. L. Hansen"
"John P. Hayes"
"Joseph M. Hellerstein"
"Joseph Y. Halpern"
"Jun Huang"
"Juraj Hromkovic"
"Kaoru Hirota"
"Kien A. Hua"
"Koh Hosoda"
"Lajos Hanzo"
"Lane A. Hemaspaandra"
"Lars Kai Hansen"
"Lawrence O. Hall"
"Manuel V. Hermenegildo"
"Maritta Heisel"
"Mark Horowitz"
"Marti A. Hearst"
"Martial Hebert"
"Martin Haardt"
"Masaaki Harada"
"Matthias L. Hemmje"
"Maurice Herlihy"
"Michael E. Houle"
"Michael H. B hlen"
"Michel Habib"
"Min-Shiang Hwang"
"Mor Harchol-Balter"
"Mounir Hamdi"
"Nen-Fu Huang"
"Nicholas J. Higham"
"Pascal Van Hentenryck"
"Pat Hanrahan"
"Paul J. M. Havinga"
"Paul M. J. Van den Hof"
"Pavol Hell"
"Qiang Huo"
"Reiner H hnle"
"Richard I. Hartley"
"Robert D. Howe"
"Rolf Hennicker"
"Rudy Hirschheim"
"Sabine Van Huffel"
"Salim Hariri"
"San-Yih Hwang"
"Scott E. Hudson"
"Shai Halevi"
"Shinichi Hirai"
"Soonhoi Ha"
"Takahiro Hanyu"
"Tero Harju"
"Teruo Higashino"
"Thomas A. Henzinger"
"Thomas S. Huang"
"Tom Heskes"
"Tor Helleseth"
"Tsan-sheng Hsu"
"Tzung-Pei Hong"
"Udo Hahn"
"Uwe D. Hanebeck"
"Vincent Hayward"
"Wassim M. Haddad"
"Wen-mei W. Hwu"
"Wiebe van der Hoek"
"Wilhelm Hasselbring"
"William R. Hersh"
"Xin He"
"Xudong He"
"Yingbo Hua"
"Yu Hen Hu"
"Yutaka Hata"
"Zygmunt J. Haas"
